id,nemo,descipcion,agrupacion,tipo_agente,fecha_proceso,lote_id_log
155878,GD4868OI,VASILE Y CIA SACI,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155879,GD4880OI,BURKOOL SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155880,GD4889OI,ESFEROIDAL SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155881,GD4893OI,FLINGDAY S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155882,GD4897OI,DENIKO S A,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155883,GD4898OI,VENTALUM S A I C,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155884,GD4932OI,EVAPLAS S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155885,GD4946XI,GOMA CORD S.R.L.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155886,GD4949OI,ALUMINIUM MANUFACTURERS EXPRES,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155887,GD4956OI,AFIP EDIFICIO LIBERTADOR,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155888,GD5001MI,BGAS Y VIQEDOS CROTTA SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155889,GD5001TI,COTA-AG-TRANSF.Y COM.LTDA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155890,GD5002MI,LOS HAROLDOS S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155891,GD5002TI,DI BACCO Y CIA S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155892,GD5003TI,CITROMAX SACI,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155893,GD5004TI,VICENTE TRAPANI S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155894,GD5005TI,PANPACK S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155895,GD5006MI,PALAU LUIS ANTONIO,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155896,GD5006TI,PASEO SHOPING S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155897,GD5007MI,PROYECTO 2003 S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155898,GD5008MI,PUPINCO SRL,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155899,GD5008TI,YERBA BUENA GOLF COUNTRY CLUB,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155900,GD5009MI,VDOS Y BGAS JOSE ORFILA LTD,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155901,GD5009TI,LITORAL CITRUS,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155902,GD5010MI,FANTELLI J.C.E HIJOS,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155903,GD5011TI,SOC. RURAL DE TUCUMAN,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155904,GD5012MI,BENVENUTO S.A.C.I.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155905,GD5013MI,RPB,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155906,GD5014MI,RPB S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155907,GD5014OI,BAM BAM S R L,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155908,GD5015MI,COOP.V.N.CALIFORNIA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155909,GD5016MI,COOP.V.N.CALIFORNIA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155910,GD5017MI,FENIX S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155911,GD5019MI,FRIOFRUT,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155912,GD5020MI,ESMERALDA S.A BGAS,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155913,GD5020TI,F.G.F. TRAPANI SRL,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155914,GD5021MI,PETROPLAST PETROFISA PLASTICOS,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155915,GD5022MI,GONZALEZ S.A. ANTONIO,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155916,GD5023MI,COOP.VIVTIV.ING.GIAGNONI,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155917,GD5023OI,UNIREC - EB7,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155918,GD5024MI,AGROIN LAS PIEDRAS LTDA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155919,GD5025MI,LA CAMPAGNOLA S.A.C.I.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155920,GD5026MI,VITIS S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155921,GD5027MI,GRANUVA S.R.L.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155922,GD5028TI,ZAMORA E HIJOS S R L DIEGO,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155923,GD5030MI,YPF SOCIEDAD ANONIMA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155924,GD5030TI,SOC DE AGUAS DEL TUC,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155925,GD5031TI,TAFI HOUSING S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155926,GD5032MI,COOP. ALGARROBO BONITO LTDA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155927,GD5032TI,LA LUGUENZE SRL,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155928,GD5033MI,NICOLAS CATENA B Y V,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155929,GD5033TI,MUDAD FRANCISCO ESTEBAN,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155930,GD5034MI,MONTE REAL S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155931,GD5034TI,CIBERPLAS S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155932,GD5035MI,INST.DE SAN.Y CALIDAD AGROP.MZ,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155933,GD5036MI,MAZARA HNOS S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155934,GD5037MI,S Y A GEORGEL S.R.L.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155935,GD5038MI,RJE S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155936,GD5039MI,BODEGAS Y VIÑEDOS BENEDETTI,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155937,GD5040MI,LA PAMPA TRADING S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155938,GD5041MI,EST. VIT. BERTONA S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155939,GD5043MI,TRAYLON S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155940,GD5045MI,MAZARA HNOS S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155941,GD5046MI,PODER JUDICIAL MENDOZA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155942,GD5047MI,R.P.B. S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155943,GD5048MI,MONTE REAL S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155944,GD5048OI,AMAFREN S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155945,GD5049OI,SANDALL SRL,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155946,GD5050OI,JAUREGUY SACI Y A,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155947,GD5051OI,GRAPHIPACK SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155948,GD5052OI,MERCOMAX SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155949,GD5053OI,SILCOLOR S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155950,GD5056OI,INASTILLEX SRL,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155951,GD5057OI,MACCHI HNOS SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155952,GD5062OI,RAPIER S A,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155953,GD5067OI,TEGNAL SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155954,GD5068OI,IMETEC SRL,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155955,GD5073OI,TEX CARE ARGENTINA S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155956,GD5077OI,PRODUCTORA QUIMICA LLANA Y CIA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155957,GD5079OI,PLASTICOS EXCLUSIVOS S A,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155958,GD5081OI,ROMA PACK S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155959,GD5096OI,LENTER SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155960,GD5107OI,BEBIDAS NIHUIL SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155961,GD5126OI,COOP.DE TRAB.UNIDOS DEL CALZAD,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155962,GD5267OI,EUROPOL S.R.L,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155963,GD5327OI,OVOPROT INTERNATIONAL SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155964,GD5360OI,FARMACITY S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155965,GD5372OI,NUESTRA HUELLA S A (CONCURSO),GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155966,GD5384OI,LKL,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155967,GD5387OI,HYAF S A,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155968,GD5479OI,LAFONT CAST IRON SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155969,GD5480OI,FRIG. REG. BOVINOS DEL SUR,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155970,GD5483OI,ACEROS CORONA SRL,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155971,GD5484OI,DISTRIBUIDORA PRIMERO DE SEPTI,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155972,GD5485OI,TEXTIL LEVEL SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155973,GD5501YI,LEDESMA SAAI,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155974,GD5523OI,FAINSER SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155975,GD5638OI,IAR-METAL S R L,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155976,GD5702OI,FUND.NVO.HOGAR COM.COM.JUDIA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155977,GD5727OI,KISKALI SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155978,GD5765OI,AMUBE SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155979,GD5799OI,FORJA FANTON SRL,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155980,GD5800OI,CONOMETAL SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155981,GD5802OI,REZAGOS INDUSTRIALES SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155982,GD5859OI,INDUSTRIAS FUNSA SACIFIA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155983,GD5950OI,INSUMOS XXI S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155984,GD6113OI,UNE S.R.L.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155985,GD6114OI,POSTA PILAR SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155986,GD6117OI,KROMBERG & SCHUBERT GMBH & CO,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155987,GD6127OI,BLIPACK SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155988,GD6128OI,GRUPO POSADAS S.A,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155989,GD6134OI,HOTELERIA Y NEGOCIOS S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155990,GD6140OI,MACROPLAST S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155991,GD6156OI,CULLIGAN ARGENTINA SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155992,GD6161OI,DIE TECH S A,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155993,GD6162OI,N ROSSI E HIJOS SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155994,GD6166OI,I P H S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155995,GD6171OI,GOYAIKE S.A.A.C.I. Y F.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155996,GD6173OI,VITALPET S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155997,GD6185OI,SERVICIO PENITENCIARIO BONAERE,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155998,GD6193OI,CGR SA (VIRREY DEL PINO),GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
155999,GD6195OI,AGUA Y SANEAMIENTOS ARG. S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156000,GD6201OI,MANDY SACIAYF,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156001,GD6215OI,MINIST. DE DESARROLLO HUMANO,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156002,GD6230OI,METALURGICA RUAL S A,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156003,GD6231OI,BETCO SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156004,GD6238OI,INDUSTRIAS MERCURIO PAPAIANNI,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156005,GD6239OI,WORLDPLAS S A,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156006,GD6246OI,DANLISH SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156007,GD6253OI,HUNTER DOUGLAS ARGENTINA S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156008,GD6255OI,EMPRENDIMIENTOS Y SERVICIOS SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156009,GD6268OI,ALLI VAMOS SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156010,GD6289OI,INSTITUTO BIOLOGICO CONTEMPORA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156011,GD6290OI,UNION PERS. CIVIL DE LA NACION,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156012,GD6314OI,GAMMA SUDAMERICANA S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156013,GD6321OI,SFP ARGENTINA S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156014,GD6329OI,SCALTER SRL,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156015,GD6339OI,AySA (Aguas y Saneamientos Arg,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156016,GD6341OI,Universidad Nacional de San Ma,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156017,GD6353OI,LOS JACARANDAES S A,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156018,GD6356OI,ENVASES PLASTICOS LAGO SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156019,GD6364OI,ELECTROMETAL LATINA S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156020,GD6366OI,UMICORE ARGENTINA S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156021,GD6390OI,AySA (Aguas y Saneamientos Arg,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156022,GD6437OI,NIKE ARGENTINA S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156023,GD6439OI,CONSORCIO DE PROP. CHATEAU LIB,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156024,GD6454WI,NEA TEX S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156025,GD6484OI,ADMINISTRACION DE JUSTICIA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156026,GD6490OI,CEVASA S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156027,GD6513OI,PEUGEOT CITROEN S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156028,GD6526OI,INVERSORA WALCOSOL SRL,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156029,GD6547OI,BENITO ROGGIO E HIJOS-TECSAN,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156030,GD6565OI,GCBA TEATRO 25 DE MAYO,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156031,GD6612OI,CORTESTAMP SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156032,GD6627OI,ESEKA SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156033,GD6646OI,ECOAYRES ARGENTINA S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156034,GD6652OI,BOSISIO SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156035,GD6661OI,MINISTERIO DE DESARROLLO SOCIA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156036,GD6674OI,ESTABLECIMIENTO AVICOLA LAS AC,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156037,GD6718OI,CONS.PARQUE AUSTRAL,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156038,GD6734OI,CONS.PROP LE (EX.FIDE.LE PARC),GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156039,GD6736OI,ALUEX SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156040,GD6771XI,UNIVERS.NAC.DE CORDOBA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156041,GD6772XI,UNIV.TEC.NAC.(C.UNIVERSITARIA),GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156042,GD6773XI,MINIST EDUC Y CULTURA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156043,GD6774XI,DINOSAURIO S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156044,GD6785OI,CONSORCIO DE PROPI. MIRABILIA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156045,GD6787XI,EDUARDO H PEREZ & HNOS. S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156046,GD6790OI,LEGANCE S A,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156047,GD6791XI,CET S.A,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156048,GD6794XI,CTI CIA.DE TELEF.DEL INTERIOR,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156049,GD6795XI,CRECIENDO S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156050,GD6796XI,UNIVERSIDAD NAC.DE V.MARIA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156051,GD6797XI,COOP.AGRIC.FEDER.ARGENTINA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156052,GD6798OI,ALLI VAMOS SA,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
156053,GD6799XI,CANTERA DUMESNIL S.A.,GRANDES USUARIOS,GRAN DEMANDA EN DISTRIBUIDOR,2020-05-05 11:08:14.531913,67
